                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5151,                 4.3067,                 1.8558,                0.30032,                0.51703,                0.26693,                0.13625,                 1.7169,                 4.1034,                 2.2929,             0.00029409,             0.00029409,             0.00029409
                      2,                 1.3657,                 2.3814,                 1.6763,                0.44532,                0.39265,                0.35723,                0.15858,                 1.8679,                 2.8465,                 2.5304,             0.00059118,             0.00059118,             0.00059118
                      3,                 1.4366,                 2.3278,                 1.7469,                0.54284,                0.22637,                0.19536,                0.08681,                 1.9518,                 2.4774,                 2.6047,             0.00088227,             0.00088227,             0.00088227
                      4,                 1.4175,                 2.2747,                 1.7429,                0.34143,                0.19341,                 0.2531,                0.09829,                 2.1274,                 3.4526,                 2.9365,               0.000882,               0.000882,               0.000882
                      5,                 1.4351,                 2.2637,                 1.7652,                0.35972,                0.40053,                0.29348,                0.11854,                 1.9793,                  2.718,                 2.8272,               0.000873,               0.000873,               0.000873
                      6,                 1.4888,                 2.1718,                 1.7825,                0.51834,                0.28462,                 0.2757,                0.10576,                 2.1335,                 2.5214,                 2.7344,               0.000864,               0.000864,               0.000864
                      7,                 1.4309,                 2.1364,                 1.7474,                0.50278,                0.24396,                0.12338,                0.03402,                 2.4322,                 3.5527,                 2.9009,             0.00085501,             0.00085501,             0.00085501
                      8,                 1.3872,                 2.1436,                 1.6947,                0.81197,                0.27186,                0.29258,                0.11606,                 1.9227,                 2.5902,                 2.4602,             0.00084601,             0.00084601,             0.00084601
                      9,                 1.3814,                 2.0238,                 1.6989,                0.31266,                  0.455,                0.50346,                 0.2835,                 1.6955,                 1.8921,                  2.215,             0.00083701,             0.00083701,             0.00083701
                     10,                 1.3575,                 2.0363,                  1.689,                0.83289,                0.45769,                0.53824,                0.27088,                 1.8867,                 1.6438,                 2.5034,             0.00082801,             0.00082801,             0.00082801
                     11,                 1.3333,                 1.9309,                 1.6428,                0.41043,                0.55647,                0.47582,                0.21756,                 1.9816,                 1.6217,                 2.5419,             0.00081901,             0.00081901,             0.00081901
                     12,                 1.3646,                 1.8929,                 1.6731,                0.72252,                0.55115,                0.55983,                0.25595,                 1.7566,                 1.4849,                 2.1993,             0.00081001,             0.00081001,             0.00081001
                     13,                 1.2645,                 1.8512,                 1.6241,                0.59207,                0.36124,                0.36869,                0.20469,                 1.8749,                 2.0124,                 2.4962,             0.00080101,             0.00080101,             0.00080101
                     14,                 1.2832,                 1.7947,                 1.6086,                0.51732,                0.65789,                0.55114,                0.28847,                 1.6588,                 1.6059,                 2.2216,             0.00079201,             0.00079201,             0.00079201
                     15,                 1.2308,                 1.7742,                 1.5821,                0.91677,                0.41153,                0.60475,                0.36324,                 1.7139,                 1.5874,                 2.2422,             0.00078301,             0.00078301,             0.00078301
                     16,                 1.2564,                 1.7015,                 1.5853,                0.66364,                0.46442,                0.53595,                0.22737,                 2.0859,                 1.5536,                 2.5988,             0.00077401,             0.00077401,             0.00077401
                     17,                  1.232,                 1.6163,                 1.5668,                0.56181,                0.68187,                0.62437,                0.33933,                 1.6624,                 1.3365,                 2.1798,             0.00076501,             0.00076501,             0.00076501
                     18,                 1.2411,                 1.6682,                 1.5669,                0.60068,                0.44124,                0.46597,                0.25086,                 1.6369,                 1.5469,                 2.1698,             0.00075602,             0.00075602,             0.00075602
                     19,                 1.1972,                 1.6275,                 1.5298,                0.60865,                0.62909,                0.71368,                0.37015,                 1.6081,                 1.3866,                 2.1031,             0.00074702,             0.00074702,             0.00074702
                     20,                  1.173,                 1.6078,                 1.5262,                0.64185,                0.56002,                0.72664,                0.36535,                 1.6045,                 1.5501,                 2.0921,             0.00073802,             0.00073802,             0.00073802
                     21,                 1.1635,                 1.5391,                 1.4898,                0.67438,                0.58489,                0.65214,                0.32029,                 1.8022,                 1.3994,                 2.3981,             0.00072902,             0.00072902,             0.00072902
                     22,                 1.1311,                 1.5087,                  1.499,                0.47079,                0.79242,                0.71472,                0.37443,                 1.7039,                 1.3103,                  2.211,             0.00072002,             0.00072002,             0.00072002
                     23,                 1.1187,                  1.405,                 1.4873,                0.64036,                0.75718,                0.78013,                0.41069,                  1.747,                 1.2233,                 2.3418,             0.00071102,             0.00071102,             0.00071102
                     24,                 1.0926,                 1.4088,                 1.4524,                0.53496,                0.68435,                0.63269,                0.31067,                 1.7752,                 1.5093,                 2.3004,             0.00070202,             0.00070202,             0.00070202
                     25,                 1.0931,                 1.3724,                 1.4596,                0.49826,                0.68901,                0.73692,                0.36971,                 1.6346,                  1.323,                 2.1522,             0.00069302,             0.00069302,             0.00069302
                     26,                 1.0796,                 1.3394,                 1.4431,                 0.5729,                0.74341,                0.73799,                0.39555,                 1.5696,                 1.2574,                 2.0956,             0.00068402,             0.00068402,             0.00068402
                     27,                 1.0606,                 1.3423,                  1.453,                0.87789,                0.56398,                0.63398,                0.34155,                 1.6094,                 1.1688,                 2.0652,             0.00067502,             0.00067502,             0.00067502
                     28,                 1.0505,                 1.2795,                 1.4271,                0.57042,                0.71081,                0.60292,                0.32423,                 1.5465,                 1.1705,                 2.1425,             0.00066602,             0.00066602,             0.00066602
                     29,                 1.0759,                 1.2954,                 1.4458,                0.54871,                0.91305,                0.73516,                0.37085,                 1.6791,                  1.247,                 2.2132,             0.00065703,             0.00065703,             0.00065703
                     30,                 1.0331,                 1.2627,                 1.3979,                0.87026,                0.53944,                0.63896,                0.35953,                 1.6268,                 1.2518,                 2.1911,             0.00064803,             0.00064803,             0.00064803
                     31,                  1.022,                 1.2497,                 1.4052,                0.56026,                0.85054,                0.71874,                0.32659,                   1.69,                 1.4625,                 2.2104,             0.00063903,             0.00063903,             0.00063903
                     32,                 1.0144,                 1.2569,                 1.4062,                0.77141,                0.60636,                0.73467,                0.41181,                 1.7048,                  1.175,                 2.1465,             0.00063003,             0.00063003,             0.00063003
                     33,                0.98637,                 1.1914,                 1.3685,                0.77725,                0.69958,                0.78438,                0.42511,                 1.6263,                 1.1757,                 2.1857,             0.00062103,             0.00062103,             0.00062103
                     34,                0.95583,                 1.1162,                 1.3362,                0.85961,                0.66984,                0.84575,                0.44098,                 1.6025,                 1.0816,                 2.0699,             0.00061203,             0.00061203,             0.00061203
                     35,                0.93704,                 1.0878,                 1.3464,                0.61614,                0.80954,                0.88496,                0.48689,                 1.4445,                 1.0002,                 1.8969,             0.00060303,             0.00060303,             0.00060303
                     36,                0.94528,                 1.1155,                  1.334,                 0.8646,                0.55586,                0.67999,                0.36949,                 1.5482,                 1.0413,                 2.0948,             0.00059403,             0.00059403,             0.00059403
                     37,                0.93781,                 1.1227,                 1.3537,                0.92503,                0.62611,                0.79102,                 0.4548,                 1.5131,                0.97682,                 2.1112,             0.00058503,             0.00058503,             0.00058503
                     38,                 0.9295,                 1.0865,                 1.3248,                0.64751,                0.90003,                0.81125,                0.43837,                 1.5451,                 1.0422,                 2.1344,             0.00057603,             0.00057603,             0.00057603
                     39,                0.92035,                 1.0363,                 1.3244,                 0.6456,                0.63916,                0.76274,                0.42763,                 1.6615,                 1.1978,                 2.2847,             0.00056703,             0.00056703,             0.00056703
                     40,                0.89242,                0.98545,                 1.3042,                0.60706,                0.67209,                0.61458,                0.36086,                  1.461,                 1.1946,                  1.964,             0.00055804,             0.00055804,             0.00055804
